,site_code,species_code,measurement_start_utc,measurement_end_utc,value
1324,EA6,NO2,2021-03-12 10:00:00,2021-03-12 11:00:00,38.0
853,EA6,NO2,2021-03-12 11:00:00,2021-03-12 12:00:00,34.8
124,EA6,NO2,2021-03-12 12:00:00,2021-03-12 13:00:00,39.5
1593,EA6,NO2,2021-03-12 13:00:00,2021-03-12 14:00:00,34.3
363,EA6,NO2,2021-03-12 14:00:00,2021-03-12 15:00:00,37.4
1644,EA6,NO2,2021-03-12 15:00:00,2021-03-12 16:00:00,39.4
140,EA6,NO2,2021-03-12 16:00:00,2021-03-12 17:00:00,40.8
6053,EA6,NO2,2021-03-12 17:00:00,2021-03-12 18:00:00,42.8
1606,EA6,NO2,2021-03-12 18:00:00,2021-03-12 19:00:00,56.2
193,EA6,NO2,2021-03-12 19:00:00,2021-03-12 20:00:00,57.1
6042,EA6,NO2,2021-03-12 20:00:00,2021-03-12 21:00:00,42.1
1318,EA6,NO2,2021-03-12 21:00:00,2021-03-12 22:00:00,41.8
3042,EA6,NO2,2021-03-12 22:00:00,2021-03-12 23:00:00,27.8
205,EA6,NO2,2021-03-12 23:00:00,2021-03-13 00:00:00,33.6
128,EA6,NO2,2021-03-13 00:00:00,2021-03-13 01:00:00,24.4
180,EA6,NO2,2021-03-13 01:00:00,2021-03-13 02:00:00,12.7
121,EA6,NO2,2021-03-13 02:00:00,2021-03-13 03:00:00,7.5
16,EA6,NO2,2021-03-13 03:00:00,2021-03-13 04:00:00,4.5
160,EA6,NO2,2021-03-13 04:00:00,2021-03-13 05:00:00,3.7
130,EA6,NO2,2021-03-13 05:00:00,2021-03-13 06:00:00,7.5
85,EA6,NO2,2021-03-13 06:00:00,2021-03-13 07:00:00,20.3
19,EA6,NO2,2021-03-13 07:00:00,2021-03-13 08:00:00,34.7
61,EA6,NO2,2021-03-13 08:00:00,2021-03-13 09:00:00,29.9
122,EA6,NO2,2021-03-13 09:00:00,2021-03-13 10:00:00,28.1
159,EA6,NO2,2021-03-13 10:00:00,2021-03-13 11:00:00,27.2
145,EA6,NO2,2021-03-13 11:00:00,2021-03-13 12:00:00,27.6
60,EA6,NO2,2021-03-13 12:00:00,2021-03-13 13:00:00,24.5
165,EA6,NO2,2021-03-13 13:00:00,2021-03-13 14:00:00,27.0
95,EA6,NO2,2021-03-13 14:00:00,2021-03-13 15:00:00,36.7
28,EA6,NO2,2021-03-13 15:00:00,2021-03-13 16:00:00,44.8
137,EA6,NO2,2021-03-13 16:00:00,2021-03-13 17:00:00,44.3
118,EA6,NO2,2021-03-13 17:00:00,2021-03-13 18:00:00,26.5
94,EA6,NO2,2021-03-13 18:00:00,2021-03-13 19:00:00,56.6
113,EA6,NO2,2021-03-13 19:00:00,2021-03-13 20:00:00,65.3
125,EA6,NO2,2021-03-13 20:00:00,2021-03-13 21:00:00,50.0
63,EA6,NO2,2021-03-13 21:00:00,2021-03-13 22:00:00,49.1
3,EA6,NO2,2021-03-13 22:00:00,2021-03-13 23:00:00,44.2
106,EA6,NO2,2021-03-13 23:00:00,2021-03-14 00:00:00,39.1
90,EA6,NO2,2021-03-14 00:00:00,2021-03-14 01:00:00,24.6
14,EA6,NO2,2021-03-14 01:00:00,2021-03-14 02:00:00,24.8
75,EA6,NO2,2021-03-14 02:00:00,2021-03-14 03:00:00,15.6
166,EA6,NO2,2021-03-14 03:00:00,2021-03-14 04:00:00,11.1
135,EA6,NO2,2021-03-14 04:00:00,2021-03-14 05:00:00,12.2
53,EA6,NO2,2021-03-14 05:00:00,2021-03-14 06:00:00,15.2
45,EA6,NO2,2021-03-14 06:00:00,2021-03-14 07:00:00,30.4
17,EA6,NO2,2021-03-14 07:00:00,2021-03-14 08:00:00,42.4
152,EA6,NO2,2021-03-14 08:00:00,2021-03-14 09:00:00,37.9
62,EA6,NO2,2021-03-14 09:00:00,2021-03-14 10:00:00,34.3
111,EA6,NO2,2021-03-14 10:00:00,2021-03-14 11:00:00,37.1
116,EA6,NO2,2021-03-14 11:00:00,2021-03-14 12:00:00,33.9
92,EA6,NO2,2021-03-14 12:00:00,2021-03-14 13:00:00,39.6
83,EA6,NO2,2021-03-14 13:00:00,2021-03-14 14:00:00,40.6
78,EA6,NO2,2021-03-14 14:00:00,2021-03-14 15:00:00,44.2
117,EA6,NO2,2021-03-14 15:00:00,2021-03-14 16:00:00,50.2
26,EA6,NO2,2021-03-14 16:00:00,2021-03-14 17:00:00,43.1
13,EA6,NO2,2021-03-14 17:00:00,2021-03-14 18:00:00,38.2
71,EA6,NO2,2021-03-14 18:00:00,2021-03-14 19:00:00,28.5
153,EA6,NO2,2021-03-14 19:00:00,2021-03-14 20:00:00,35.0
139,EA6,NO2,2021-03-14 20:00:00,2021-03-14 21:00:00,47.1
69,EA6,NO2,2021-03-14 21:00:00,2021-03-14 22:00:00,35.2
93,EA6,NO2,2021-03-14 22:00:00,2021-03-14 23:00:00,32.5
30,EA6,NO2,2021-03-14 23:00:00,2021-03-15 00:00:00,22.6
144,EA6,NO2,2021-03-15 00:00:00,2021-03-15 01:00:00,20.2
11,EA6,NO2,2021-03-15 01:00:00,2021-03-15 02:00:00,16.8
150,EA6,NO2,2021-03-15 02:00:00,2021-03-15 03:00:00,11.2
41,EA6,NO2,2021-03-15 03:00:00,2021-03-15 04:00:00,14.5
70,EA6,NO2,2021-03-15 04:00:00,2021-03-15 05:00:00,18.9
7,EA6,NO2,2021-03-15 05:00:00,2021-03-15 06:00:00,35.9
67,EA6,NO2,2021-03-15 06:00:00,2021-03-15 07:00:00,77.2
46,EA6,NO2,2021-03-15 07:00:00,2021-03-15 08:00:00,97.2
146,EA6,NO2,2021-03-15 08:00:00,2021-03-15 09:00:00,68.5
22,EA6,NO2,2021-03-15 09:00:00,2021-03-15 10:00:00,59.0
18,EA6,NO2,2021-03-15 10:00:00,2021-03-15 11:00:00,51.4
102,EA6,NO2,2021-03-15 11:00:00,2021-03-15 12:00:00,50.7
74,EA6,NO2,2021-03-15 12:00:00,2021-03-15 13:00:00,44.1
89,EA6,NO2,2021-03-15 13:00:00,2021-03-15 14:00:00,50.0
84,EA6,NO2,2021-03-15 14:00:00,2021-03-15 15:00:00,40.4
163,EA6,NO2,2021-03-15 15:00:00,2021-03-15 16:00:00,43.8
36,EA6,NO2,2021-03-15 16:00:00,2021-03-15 17:00:00,56.3
154,EA6,NO2,2021-03-15 17:00:00,2021-03-15 18:00:00,63.1
76,EA6,NO2,2021-03-15 18:00:00,2021-03-15 19:00:00,84.4
79,EA6,NO2,2021-03-15 19:00:00,2021-03-15 20:00:00,99.7
6,EA6,NO2,2021-03-15 20:00:00,2021-03-15 21:00:00,75.7
24,EA6,NO2,2021-03-15 21:00:00,2021-03-15 22:00:00,63.3
51,EA6,NO2,2021-03-15 22:00:00,2021-03-15 23:00:00,46.8
101,EA6,NO2,2021-03-15 23:00:00,2021-03-16 00:00:00,47.6
