"site_code","species_code","measurement_start_utc","measurement_end_utc","value"
"EA6","PM10","2021-03-14 08:00:00","2021-03-14 09:00:00",7
"EA6","NO2","2021-03-14 20:00:00","2021-03-14 21:00:00",47.1
"EA6","NO2","2021-03-12 16:00:00","2021-03-12 17:00:00",40.8
"EA6","PM10","2021-03-14 17:00:00","2021-03-14 18:00:00",24.1
"EA6","PM10","2021-03-13 03:00:00","2021-03-13 04:00:00",8.5
"GN3","O3","2021-03-08 16:00:00","2021-03-08 17:00:00",NULL
"EA6","NO2","2021-03-15 00:00:00","2021-03-15 01:00:00",20.2
"EA6","NO2","2021-03-13 11:00:00","2021-03-13 12:00:00",27.6
"EA6","NO2","2021-03-15 08:00:00","2021-03-15 09:00:00",68.5
"EA6","PM10","2021-03-15 20:00:00","2021-03-15 21:00:00",34.5
"EA6","PM10","2021-03-13 14:00:00","2021-03-13 15:00:00",18.3
"EA6","PM10","2021-03-13 19:00:00","2021-03-13 20:00:00",31.6
"EA6","NO2","2021-03-15 02:00:00","2021-03-15 03:00:00",11.2
"EA6","PM10","2021-03-14 23:00:00","2021-03-15 00:00:00",6.7
"EA6","NO2","2021-03-14 08:00:00","2021-03-14 09:00:00",37.9
"EA6","NO2","2021-03-14 19:00:00","2021-03-14 20:00:00",35
"EA6","NO2","2021-03-15 17:00:00","2021-03-15 18:00:00",63.1
"EA6","NO2","2021-03-09 23:00:00","2021-03-10 00:00:00",49.9
"EA6","PM10","2021-03-14 02:00:00","2021-03-14 03:00:00",2.6
"EA6","NO2","2021-03-10 19:00:00","2021-03-10 20:00:00",43.3
"EA6","PM10","2021-03-13 11:00:00","2021-03-13 12:00:00",27.5
"EA6","NO2","2021-03-13 10:00:00","2021-03-13 11:00:00",27.2
"EA6","NO2","2021-03-13 04:00:00","2021-03-13 05:00:00",3.7
"EA6","NO2","2021-03-09 03:00:00","2021-03-09 04:00:00",32.9
"EA6","PM10","2021-03-15 13:00:00","2021-03-15 14:00:00",27
"EA6","NO2","2021-03-15 15:00:00","2021-03-15 16:00:00",43.8
"EA6","PM10","2021-03-14 04:00:00","2021-03-14 05:00:00",-1.0
"EA6","NO2","2021-03-13 13:00:00","2021-03-13 14:00:00",27
"EA6","NO2","2021-03-14 03:00:00","2021-03-14 04:00:00",11.1
"EA6","PM10","2021-03-14 15:00:00","2021-03-14 16:00:00",15
"EA6","PM10","2021-03-15 04:00:00","2021-03-15 05:00:00",9.3
"EA6","PM10","2021-03-14 07:00:00","2021-03-14 08:00:00",7.2
"EA6","PM10","2021-03-13 06:00:00","2021-03-13 07:00:00",5.8
"EA6","PM10","2021-03-12 17:00:00","2021-03-12 18:00:00",12.6
"HP1","O3","2021-03-15 03:00:00","2021-03-15 04:00:00",101
"EA6","PM10","2021-03-15 00:00:00","2021-03-15 01:00:00",4.8
"EA6","PM10","2021-03-14 21:00:00","2021-03-14 22:00:00",16.1
"EA6","PM10","2021-03-10 15:00:00","2021-03-10 16:00:00",11.6
"EA6","PM10","2021-03-12 05:00:00","2021-03-12 06:00:00",9
"EA8","NO2","2021-03-15 08:00:00","2021-03-15 09:00:00",46.4
"EA8","NO2","2021-03-14 05:00:00","2021-03-14 06:00:00",5.8
"EA8","PM10","2021-03-15 09:00:00","2021-03-15 10:00:00",22
"EA6","NO2","2021-03-13 01:00:00","2021-03-13 02:00:00",12.7
"EA8","PM10","2021-03-15 16:00:00","2021-03-15 17:00:00",44
